name,url,section,resource_type,scale,status,evidence_level,validation_basis,run_status,artifact_status,reviewed_on,validation_signal,review_priority,workflow_tags,notes
Chip power map workflows,,"Chip, Package, And Server Cooling",Data/model workflow,Chip/package,workflow,workflow,not specified,not specified,not specified,,not specified,normal,modeling; workflow,"Map power density to junction temperature, hotspot risk, cooling limits, and system-level energy implications."
Electro-thermal co-design workflows,,"Chip, Package, And Server Cooling",Design workflow,Chip/server,workflow,workflow,not specified,not specified,not specified,,not specified,normal,design; workflow,"Joint treatment of power delivery, thermal constraints, 800 VDC architectures, reliability, and cooling requirements."
xenabmirza/magnetocaloric-thin-film-cooling,https://github.com/xenabmirza/magnetocaloric-thin-film-cooling,"Chip, Package, And Server Cooling",Notebook prototype / educational concept,Microchip / emerging cooling,educational,educational example,prototype documentation and 2026-07-04 source inspection,"source inspected, local run not performed",public notebook and short README,2026-07-04,educational/prototype caveat,high,design,"Small Jupyter notebook concept for magnetocaloric thin-film cooling in microchip and data center contexts; source inspection on 2026-07-04 confirmed a two-commit notebook-only public artifact with no visible validation dataset, no reproducible benchmark output, no material-property provenance, and no system-level cooling integration. Useful for tracking emerging ideas, not for chip or facility design evidence. Validation basis: prototype documentation and 2026-07-04 source inspection; Run status: source inspected, local run not performed; Artifact status: public notebook and short README; Reviewed: 2026-07-04."
CDU design and sizing workflows,,"Rack, CDU, And Liquid Loop Systems",Design workflow,Rack/loop,workflow,workflow,not specified,not specified,not specified,,not specified,normal,control; design; workflow,"Pump curves, heat exchanger sizing, controls, redundancy, approach temperature, water quality, and failure modes."
Direct-to-chip liquid-cooling workflows,,"Rack, CDU, And Liquid Loop Systems",Design/modeling workflow,Server/rack,workflow,workflow,not specified,not specified,not specified,,not specified,normal,modeling; design; workflow,"Cold plate selection, manifold design, pressure drop, flow balancing, quick disconnects, leak detection, and serviceability."
Immersion cooling workflows,,"Rack, CDU, And Liquid Loop Systems",Design/testing workflow,Server/rack/tank,workflow,workflow,not specified,not specified,not specified,,not specified,normal,design; testing; workflow,"Dielectric fluid selection, boiling/single-phase behavior, material compatibility, maintenance, and electrical reliability."
Rear-door heat exchanger workflows,,"Rack, CDU, And Liquid Loop Systems",Design/modeling workflow,Rack/room,workflow,workflow,not specified,not specified,not specified,,not specified,normal,modeling; control; design; workflow,"Rack heat capture, air-liquid heat exchange, fan interaction, condensation risk, and controls."
Open Compute Project Cooling Environments,https://www.opencompute.org/community/cooling-environments,"Rack, CDU, And Liquid Loop Systems",Standards/community resource,Rack/liquid cooling,standard/guideline,standard/guideline,standards/community documentation,not applicable,public guidance page,2026-06-22,standard/guideline,medium,standard,OCP community hub for liquid-cooling and warm-water-cooling resources; useful for tracking open rack and cooling ecosystem work. Validation basis: standards/community documentation; Run status: not applicable; Artifact status: public guidance page; Reviewed: 2026-06-22.
OCP Single-Phase Direct-to-Chip Cold Plate Base Specification,https://www.opencompute.org/wiki/Cooling_Environments/Cold_Plate,"Rack, CDU, And Liquid Loop Systems",Emerging open specification,Chip/server/rack,standard/guideline,standard/guideline,specification source,not applicable,public specification page,2026-06-22,standard/guideline,medium,design,Vendor-neutral baseline effort for single-phase direct-to-chip cold plates in data center liquid-cooling systems; track as a specification source rather than a validated design tool. Validation basis: specification source; Run status: not applicable; Artifact status: public specification page; Reviewed: 2026-06-22.
DMTF Redfish for Liquid Cooling Equipment,https://www.dmtf.org/sites/default/files/standards/documents/DSP2064_1.1.0.pdf,"Rack, CDU, And Liquid Loop Systems",Informational standard / schema guidance,CDU / immersion / facility cooling loops,standard/guideline,standard/guideline,DMTF Redfish liquid-cooling guidance,not applicable,public PDF and schema-reference guidance,2026-07-06,standard/guideline,medium,monitoring; accounting; standard,"DSP2064 version 1.1.0 describes Redfish schema support for liquid-cooling distribution units, immersion cooling units, heat exchangers, cooling loops, coolant connectors, leak detection, pumps, reservoirs, thermal metrics, and Facility/ThermalEquipment resources. Use it to frame telemetry and conformance checks for Redfish-exposed cooling equipment, not as a thermal-performance dataset. Validation basis: DMTF Redfish liquid-cooling guidance; Run status: not applicable; Artifact status: public PDF and schema-reference guidance; Reviewed: 2026-07-06."
dell/IRC-Reference-Tools,https://github.com/dell/IRC-Reference-Tools,"Rack, CDU, And Liquid Loop Systems",Open-source reference tools,Rack/CDU/liquid cooling,workflow,workflow,source documentation and 2026-07-05 source inspection,"source inspected, local run not performed","public Docker Compose code, setup docs, UI, and Redfish workflow configuration",2026-07-05,documentation-only basis,medium,control; monitoring; accounting; workflow,"Dockerized reference tools for monitoring in-rack coolant controller leak events, valve state, and automated rack-device shutdown actions; source inspection on 2026-07-05 found a multi-container ActiveMQ/MySQL/config UI/dbdiscauth/redfishread/action architecture, Redfish SSE event monitoring, STOMP databus messaging, YAML system-type definitions for iDRAC/CDU/AMI/NVLink-style devices, HTTPS UI, default setup through `bash docker-compose-files/compose.sh up`, and post-install checks for container status plus `curl -k https://localhost`. Still needs a local Docker run, service-health capture, simulated or real IRC event path, and credential/security review before operational evidence use. Validation basis: source documentation and 2026-07-05 source inspection; Run status: source inspected, local run not performed; Artifact status: public Docker Compose code, setup docs, UI, and Redfish workflow configuration; Reviewed: 2026-07-05."
samrudition/dynamic-cooling-loop,https://github.com/samrudition/dynamic-cooling-loop,"Rack, CDU, And Liquid Loop Systems",MATLAB/Simulink educational model,Liquid loop / rack-adjacent,educational,educational example,"educational model documentation, source equations, and 2026-07-04 source inspection","source inspected, local run not performed",public MATLAB/Simulink code and technical report,2026-07-04,educational/prototype caveat,high,modeling; design; workflow,"Transient active liquid-cooling-loop model; source inspection on 2026-07-04 found a lumped-capacity coolant energy balance, effectiveness-NTU heat-exchanger relation, MATLAB initialization script, Simulink model, technical report, 1 kW base heat-load step, 0.2 kg/s nominal mass flow, 150 W/K base radiator UA, pump-failure case reducing flow to 0.01 kg/s, UA-improvement case at 300 W/K, and a 3600 s Simulink run workflow. Useful for teaching loop dynamics and failure response, but not a calibrated data-center design model. Validation basis: educational model documentation, source equations, and 2026-07-04 source inspection; Run status: source inspected, local run not performed; Artifact status: public MATLAB/Simulink code and technical report; Reviewed: 2026-07-04."
2listic/datacenter-planner,https://github.com/2listic/datacenter-planner,"Rack, CDU, And Liquid Loop Systems",Open-source visualization workflow,Rack/room layout,workflow,workflow,source documentation and 2026-07-01 public page inspection,"source inspected, thermal validation not applicable",public JavaScript code,2026-07-01,documentation-only basis,medium,planning; workflow,"Web-based 2D-to-3D planning app using Paper.js, Three.js, and Vite for placing racks, coolers, and other scene assets; useful for spatial layout visualization, not for thermal, airflow, pressure-drop, or energy validation. Public page inspection on 2026-07-01 found npm/Vite run instructions but no thermal calculation or validation target, so it is no longer tracked as runnable thermal-validation debt. Validation basis: source documentation and 2026-07-01 public page inspection; Run status: source inspected, thermal validation not applicable; Artifact status: public JavaScript code; Reviewed: 2026-07-01."
LianLiTech/In-Rack-Coolant-Distribution-Unit,https://github.com/LianLiTech/In-Rack-Coolant-Distribution-Unit,"Rack, CDU, And Liquid Loop Systems",Vendor/product material,Rack/CDU,vendor/material,vendor/product material,vendor/product material,not applicable,public documentation,2026-06-22,vendor evidence caveat,high,testing,"In-rack CDU and containerized data center cooling overview; useful for hardware landscape awareness, but needs datasheets or test data before engineering citation. Validation basis: vendor/product material; Run status: not applicable; Artifact status: public documentation; Reviewed: 2026-06-22."
LianLiTech/Data-Center-Liquid-Cooling-System,https://github.com/LianLiTech/Data-Center-Liquid-Cooling-System,"Rack, CDU, And Liquid Loop Systems",Vendor/product material,Rack/liquid cooling,vendor/material,vendor/product material,vendor/product material,not applicable,public documentation,2026-06-22,vendor evidence caveat,high,reference,Liquid-cooling product overview for high-density AI/HPC racks; include only as market/hardware orientation unless technical documentation is added. Validation basis: vendor/product material; Run status: not applicable; Artifact status: public documentation; Reviewed: 2026-06-22.
EnergyPlus,https://energyplus.net/,"Room, Building, And Campus Modeling",Open-source building simulator,Building/facility,included,open-source implementation,established simulator documentation,not run in catalog review,public code and documentation,2026-06-22,documentation-only basis,medium,modeling; control,"Facility energy modeling, HVAC systems, weather files, economizers, heat recovery, controls, and annual performance. Validation basis: established simulator documentation; Run status: not run in catalog review; Artifact status: public code and documentation; Reviewed: 2026-06-22."
Modelica workflows,,"Room, Building, And Campus Modeling",Modeling language/workflow,Component to facility,workflow,workflow,not specified,not specified,not specified,,not specified,normal,modeling; control; workflow,"Useful for coupled thermal-fluid-energy systems, cooling loops, controls, and system dynamics."
Data-center room CFD workflows,,"Room, Building, And Campus Modeling",CFD workflow,Room/facility,workflow,workflow,not specified,not specified,not specified,,not specified,normal,CFD; workflow,"Air management, containment, recirculation, bypass, rack inlet temperatures, and CRAC/CRAH interactions."
lbl-srg/modelica-buildings,https://github.com/lbl-srg/modelica-buildings,"Room, Building, And Campus Modeling",Open-source Modelica library,Component/building/facility,included,open-source implementation,library documentation and example models,not run in catalog review,public code and documentation,2026-06-22,documentation-only basis,medium,modeling,Modelica Buildings library with data-center application models and active issue tracking for rack liquid-cooling/cold-plate components; useful for system-level dynamic modeling. Validation basis: library documentation and example models; Run status: not run in catalog review; Artifact status: public code and documentation; Reviewed: 2026-06-22.
DOE/LBNL data center Modelica toolkit,https://sites.psu.edu/sbslab/publications/tools/end-to-end-modeling-and-optimization-package-for-data-center-cooling/,"Room, Building, And Campus Modeling",Open-source model package,Facility/cooling plant,included,open-source implementation,source documentation,not run in catalog review,public code through Modelica Buildings,2026-06-22,documentation-only basis,medium,modeling,"Data center cooling toolkit released through the Modelica Buildings library, including system and component models for facility cooling studies. Validation basis: source documentation; Run status: not run in catalog review; Artifact status: public code through Modelica Buildings; Reviewed: 2026-06-22."
JuwanHa/-BETlab-Data-Center-Modeling,https://github.com/JuwanHa/-BETlab-Data-Center-Modeling,"Room, Building, And Campus Modeling",Open-source EnergyPlus model package / paper artifact,Air-cooled and liquid-cooled facility models,paper artifact,peer-reviewed artifact,"source documentation, EnergyPlus models, and peer-reviewed ACDC papers",not run in catalog review,"public code, weather files, documentation, and paper links",2026-06-25,paper artifact,medium,simulation; modeling,"Physics-based EnergyPlus data center modeling package covering CRAH/chiller/WSE/TES air-cooled configurations plus liquid-cooled facility-water and technology-cooling-system concepts with CDUs, direct-to-chip cooling, rear-door heat exchangers, immersion cooling, workload-to-cooling-load aggregation, weather files, figures, and linked peer-reviewed ACDC papers; LCDC model use still needs artifact execution and validation-data matching. Validation basis: source documentation, EnergyPlus models, and peer-reviewed ACDC papers; Run status: not run in catalog review; Artifact status: public code, weather files, documentation, and paper links; Reviewed: 2026-06-25."
nuoaleon/Data-center-PUE-prediction-tool,https://github.com/nuoaleon/Data-center-PUE-prediction-tool,"Room, Building, And Campus Modeling",Open notebooks,Facility/campus,included,curated resource,source notebooks,not run in catalog review,public code,2026-06-22,documentation-only basis,medium,accounting,Physics-based PUE prediction and sensitivity analysis for climate-dependent hyperscale data center cooling scenarios. Validation basis: source notebooks; Run status: not run in catalog review; Artifact status: public code; Reviewed: 2026-06-22.
Heat reuse workflows,,"Room, Building, And Campus Modeling",Design/accounting workflow,Facility/campus,workflow,workflow,not specified,not specified,not specified,,not specified,normal,design; accounting; workflow,"Waste heat recovery, district heating, greenhouse/aquaculture uses, ERE accounting, economics, and temperature-grade constraints."
ME421-Capstone-Project/chiller-model,https://github.com/ME421-Capstone-Project/chiller-model,"Room, Building, And Campus Modeling",Open-source package / educational project,Chiller array / facility,educational,educational example,"educational project documentation, package metadata, and 2026-07-03 source inspection","source inspected, local run not performed","public Python package, tests, docs, and report",2026-07-03,educational/prototype caveat,high,modeling; optimization; testing; accounting,"Builder-friendly Python package for chiller-array thermal optimization; source inspection on 2026-07-03 found grid and arbitrary-layout APIs, a Gaussian-plume thermal-interference model, COP degradation with inlet-temperature rise, aging and startup-ramp functions, greedy active-chiller selection, behavior-oriented tests, Sphinx docs, example scripts, and a technical report. Useful for teaching and method prototyping, but no local install/test run, empirical calibration, or site validation is recorded. Validation basis: educational project documentation, package metadata, and 2026-07-03 source inspection; Run status: source inspected, local run not performed; Artifact status: public Python package, tests, docs, and report; Reviewed: 2026-07-03."
femmetronics/Data-Center-Cooling-System,https://github.com/femmetronics/Data-Center-Cooling-System,"Room, Building, And Campus Modeling",Open-source simulation / educational project,Facility/operations,educational,educational example,educational project documentation and 2026-07-03 source inspection,"source inspected, local run not performed",public repository documentation/code,2026-07-03,educational/prototype caveat,high,simulation; control; accounting,"README-level source inspection on 2026-07-03 found a dependency-free Python concept for hourly cooling-mode selection and flexible-workload scheduling across cooling towers, evaporative air cooling, and dry coolers, with water-system parameters for cycles of concentration, drift, blowdown recycling, offsite grid-water use, carbon intensity, Stull wet-bulb approximation, weighted water/carbon objective, greedy load shifting, and sample summary outputs. Keep as an educational sustainability/accounting example because WUE functions and grid profiles are illustrative and no local code execution, data provenance, or equipment calibration is recorded. Validation basis: educational project documentation and 2026-07-03 source inspection; Run status: source inspected, local run not performed; Artifact status: public repository documentation/code; Reviewed: 2026-07-03."
NSTuttle/EfficiencyCalculatorWeb,https://github.com/NSTuttle/EfficiencyCalculatorWeb,"Room, Building, And Campus Modeling",Web calculator / educational,Facility/PUE,educational,educational example,historical educational calculator source metadata and 2026-07-05 entry-point probe,no runnable artifact found in catalog review,"public repository, runnable entry point not confirmed",2026-07-05,educational/prototype caveat,high,modeling; accounting,"Historical PUE-improvement calculator signal; 2026-07-05 GitHub metadata confirmed a small public repository on the `master` branch, but targeted contents checks for `README.md`, `index.html`, `home.html`, `calculator.html`, `EfficiencyCalculator.html`, `PUECalculator.html`, `app.js`, `package.json`, `style.css`, and `css/style.css` returned missing through the repository contents API. Keep as a legacy educational lead only, not an executable facility model or validation target, until an entry file is identified. Validation basis: historical educational calculator source metadata and 2026-07-05 entry-point probe; Run status: no runnable artifact found in catalog review; Artifact status: public repository, runnable entry point not confirmed; Reviewed: 2026-07-05."
4g/dcool,https://github.com/4g/dcool,"AI, Control, Digital Twins, And Operations",Open-source example,Operations/control,included,open-source implementation,source documentation and 2026-07-01 independent-validation search; no independent validation recorded,not run in catalog review,public notebooks/code and weights,2026-07-01,explicit validation caveat,high,modeling; control; design,"Data center cooling with reinforcement learning; useful as a control research example and historical RL framing. Public page inspection and targeted independent-validation search on 2026-07-01 found a toy Pymunk-style simulator, data-modeling notes, RL policy framing, and production-system design bullets, but no independent validation source, reusable facility dataset, or reproduced catalog run. Validation basis: source documentation and 2026-07-01 independent-validation search; no independent validation recorded; Run status: not run in catalog review; Artifact status: public notebooks/code and weights; Reviewed: 2026-07-01."
ExaDigiT/RAPS,https://github.com/ExaDigiT/RAPS,"AI, Control, Digital Twins, And Operations",Public digital-twin framework / research software,Liquid-cooled supercomputer / data center,workflow,workflow,"ORNL software record, official project documentation, and public source documentation","source inspected, local run not performed","public GitHub mirror, documentation, and linked ORNL software record",2026-08-11,documentation-only basis,medium,simulation; modeling; monitoring; optimization; workflow,"ORNL-led ExaDigiT framework component for scheduling synthetic or telemetry-replay workloads, estimating time-varying system power, and exchanging CDU-level power and cooling statistics with an FMU thermo-fluid model. The official project describes the larger framework as a digital twin from cooling tower to cold plate, with power simulation, telemetry assimilation, visualization, and optimization workflows. The public GitHub mirror has no asserted SPDX license, so confirm reuse terms before redistribution or integration; its documented Python workflow has not been locally run in this catalog. Validation basis: ORNL software record, official project documentation, and public source documentation; Run status: source inspected, local run not performed; Artifact status: public GitHub mirror, documentation, and linked ORNL software record; Reviewed: 2026-08-11."
HewlettPackard/dc-rl,https://github.com/HewlettPackard/dc-rl,"AI, Control, Digital Twins, And Operations",Open-source environment,Operations/control,benchmark,benchmark,"source documentation, benchmark environment, and 2026-07-04 source inspection","source inspected, local run not performed","public code, data folders, documentation, and trained-model resources",2026-07-04,reported benchmark,medium,simulation; modeling; control; benchmark,"SustainDC environments for data center simulation and control; source inspection on 2026-07-04 found a Gymnasium/MARL benchmark structure with workload scheduling, data-center cooling, and battery environments, train/evaluation scripts, configurable weather, workload, and carbon-intensity inputs, observations for time, IT-room temperature, weather, energy, carbon intensity, and battery state, plus actions for workload deferral, cooling setpoint changes, and battery charge/hold/discharge. Benchmark execution, metric capture, and dependency installation remain open. Validation basis: source documentation, benchmark environment, and 2026-07-04 source inspection; Run status: source inspected, local run not performed; Artifact status: public code, data folders, documentation, and trained-model resources; Reviewed: 2026-07-04."
HewlettPackard/sustain-lc,https://github.com/HewlettPackard/sustain-lc,"AI, Control, Digital Twins, And Operations",Open-source benchmark/control environment,Liquid cooling / CDU / operations,benchmark,benchmark,reported benchmark/source documentation and 2026-07-04 source inspection,"source inspected, local run not performed","public code, FMU, notebooks, pretrained-model folders, and docs",2026-07-04,reported benchmark,medium,simulation; modeling; control; testing; benchmark,"Sustain-LC combines Modelica/FMUs, Gymnasium interfaces, traditional controls, RL controls, and LLM/agent experiments for liquid-cooled data center control; source inspection on 2026-07-04 found a Frontier-style FMU, environment setup file, train scripts, pretrained policy folders, evaluation notebooks, policy distillation notebook, PyFMI co-simulation context, and CDU controls for inlet setpoints, pump flow, and valve positions. Keep as a benchmark/control environment until an example run records metrics. Validation basis: reported benchmark/source documentation and 2026-07-04 source inspection; Run status: source inspected, local run not performed; Artifact status: public code, FMU, notebooks, pretrained-model folders, and docs; Reviewed: 2026-07-04."
HewlettPackard/compopt,https://github.com/HewlettPackard/compopt,"AI, Control, Digital Twins, And Operations",Open-source simulation benchmark,AI data center / chip-to-CDU,included,open-source implementation,source documentation and benchmark environment,not run in catalog review,"public code, examples, tests, and configuration presets",2026-06-24,reported benchmark,medium,simulation; testing,"Pure-Python Gymnasium-style benchmark spanning chip, server, rack, CDU, cooling tower, workload scheduling, and energy/water/cost objectives; artifact screening on 2026-06-24 found documented examples, tests, configurable Frontier-like and B200 presets, six Gymnasium environments, thermal RC-network equations, and baseline agents, but no local run was completed. Validation basis: source documentation and benchmark environment; Run status: not run in catalog review; Artifact status: public code, examples, tests, and configuration presets; Reviewed: 2026-06-24."
HewlettPackard/c2g-bench,https://github.com/HewlettPackard/c2g-bench,"AI, Control, Digital Twins, And Operations",Open-source grid-interactive benchmark,Liquid cooling / grid services,included,open-source implementation,"source documentation, benchmark environment, and processed trace documentation",not run in catalog review,"public code, notebooks, and processed workload/grid/weather traces",2026-06-24,reported benchmark,medium,control; dataset,"Compute-to-grid benchmark using batch compute, battery, and liquid-cooling thermal inertia as controllable assets; artifact screening on 2026-06-24 found a dual-zone thermal twin, 5-minute workload/grid/weather traces, benchmark notebooks, and processed Alibaba/EIA/NOAA-style data provenance notes, but no local run was completed. Validation basis: source documentation, benchmark environment, and processed trace documentation; Run status: not run in catalog review; Artifact status: public code, notebooks, and processed workload/grid/weather traces; Reviewed: 2026-06-24."
enrique-martinez-martel/collagen,https://github.com/enrique-martinez-martel/collagen,"AI, Control, Digital Twins, And Operations",MATLAB/Simulink educational AI control demo,Room/facility cooling control,educational,educational example,"educational project documentation, source structure, and 2026-07-04 source inspection","source inspected, local run not performed",public MATLAB/Simulink code plus proprietary-model dependency,2026-07-04,educational/prototype caveat,high,modeling; control; optimization; workflow,"Student AI cooling-optimization project; source inspection on 2026-07-04 found MATLAB, Simulink, Simscape, Reinforcement Learning Toolbox, and Parallel Computing Toolbox requirements, a four-part live-script workflow for network creation, training, demonstration, and model saving, a `collagenSim.slx` training environment, an `RLsetupRun.mlx` setup file, and a 6SigmaRoom model directory with a FutureFacilities example plus a proprietary `DatacenterModelSigma.room` artifact. Useful for teaching RL-to-room-model coupling, but not reproducible without licensed dependencies and no public validation dataset. Validation basis: educational project documentation, source structure, and 2026-07-04 source inspection; Run status: source inspected, local run not performed; Artifact status: public MATLAB/Simulink code plus proprietary-model dependency; Reviewed: 2026-07-04."
wfzheng/AlphaDataCenterCooling,https://github.com/wfzheng/AlphaDataCenterCooling,"AI, Control, Digital Twins, And Operations",Open-source virtual testbed,Cooling control / Modelica,included,open-source implementation,"source documentation, paper-linked virtual testbed, and 2026-07-05 source inspection","source inspected, local run not performed","public code, FMU resources, Docker Compose file, and test notebooks",2026-07-05,paper artifact,normal,simulation; modeling; control; testing,"Dockerized data center cooling simulation service with a Gymnasium environment, Modelica/FMU resources, and real-data-based cooling-system structure for testing control strategies; source inspection on 2026-07-05 confirmed `AlphaDataCenterCooling_Gym`, an `AlphaDataCenterCooling_FMU.fmu`, disturbance and initialization CSVs, an `mlp.pth` pressure-head model, Docker Compose service exposure on `127.0.0.1:5000`, REST API test notebooks, and a publication link. Still needs local container startup, endpoint response, notebook validation, and sample reward/energy/constraint output capture. Validation basis: source documentation, paper-linked virtual testbed, and 2026-07-05 source inspection; Run status: source inspected, local run not performed; Artifact status: public code, FMU resources, Docker Compose file, and test notebooks; Reviewed: 2026-07-05."
kardashev-lab/datacenter-cooling-sim,https://github.com/kardashev-lab/datacenter-cooling-sim,"AI, Control, Digital Twins, And Operations",Open-source integration workflow,AI workload / cooling / telemetry,workflow,workflow,source documentation and third-party component documentation,not run in catalog review,"public code, Docker Compose stack, telemetry configs, and dashboard components",2026-06-25,documentation-only basis,medium,simulation; monitoring; workflow,"Screened integration stack combining SimAI workload simulation, AlphaDataCenterCooling, facility simulation with RDHx and chilled-water plant dynamics, adapters, Prometheus/Grafana telemetry, REST/dashboard components, Docker Compose startup instructions, and component build notes; cite as an integration workflow until a local Docker run records service health and sample metrics. Validation basis: source documentation and third-party component documentation; Run status: not run in catalog review; Artifact status: public code, Docker Compose stack, telemetry configs, and dashboard components; Reviewed: 2026-06-25."
nehemiyawicks/densewatch,https://github.com/nehemiyawicks/densewatch,"AI, Control, Digital Twins, And Operations",Open-source telemetry/correlation workflow,AI rack / CDU / operations,workflow,workflow,"source documentation, simulator/demo/test documentation",not run in catalog review,"public Go code, simulator, Docker Compose demo, Grafana dashboards, and tests",2026-06-28,documentation-only basis,medium,monitoring; testing; workflow,"Read-only observability stack for correlating GPU jobs, rack power, and liquid-cooling/CDU thermals through Redfish DSP2064 CoolingUnit telemetry, Modbus CDU fallback profiles, a conformance probe, zero-hardware simulators, Docker Compose demo, Grafana dashboards, and Go tests; useful for operations metadata and monitoring research, but no real-CDU conformance report or local catalog run is recorded. Validation basis: source documentation, simulator/demo/test documentation; Run status: not run in catalog review; Artifact status: public Go code, simulator, Docker Compose demo, Grafana dashboards, and tests; Reviewed: 2026-06-28."
vk22006/predictive-cooling-optimizer-for-data-centers,https://github.com/vk22006/predictive-cooling-optimizer-for-data-centers,"AI, Control, Digital Twins, And Operations",Open-source notebook / dashboard,Chiller scheduling / predictive control,educational,educational example,educational project documentation and 2026-07-02 source inspection,"source inspected, local run not performed",public code/notebook/models,2026-07-02,educational/prototype caveat,high,modeling; control; optimization; testing,"Temperature-aware chiller scheduling project using 13,615 HVAC samples, lag/rolling/cyclical/interacting features, XGBoost energy and temperature models, constraint-based optimization, a Streamlit app path, and reported test coverage; useful as an educational predictive-control example, but the public page does not independently establish facility data provenance, operational deployment, or catalog reproduction. Validation basis: educational project documentation and 2026-07-02 source inspection; Run status: source inspected, local run not performed; Artifact status: public code/notebook/models; Reviewed: 2026-07-02."
