full_name,url,description,stream,stars,forks,language,updated_at,pushed_at,archived,topics,tracked_status,recommendation,rationale
api-evangelist/xing-mobility,https://github.com/api-evangelist/xing-mobility,"XING Mobility (行競科技) is a Taiwan-based battery technology company building immersion-cooled lithium battery systems under the IMMERSIO brand, including cell-to-pack (CTP) battery platforms, battery backup units (BBU) for AI data centers, and the automotive-grade XBE energy storage series, serving electric mobility, energy storage (ESS), marine…",data center cooling,0,0,,2026-08-12T00:54:18Z,2026-08-12T00:54:14Z,False,apis-json; batteries; company; data-centers; electric-vehicles; energy-storage; immersion-cooling; manufacturing; taiwan,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, energy."
arain775/Data-analyst,https://github.com/arain775/Data-analyst,Data centers play a critical role in modern digital infrastructure. They consume significant amounts of electricity and water resources for computing and cooling operations. Understanding factors that influence energy consumption is important for improving operational efficiency and sustainability,data center water cooling,0,0,,2026-06-18T21:52:50Z,2026-06-18T21:52:44Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, energy, water."
arthurzhang888/cloudmanager,https://github.com/arthurzhang888/cloudmanager,"Enterprise data center infrastructure management platform with liquid cooling monitoring, asset discovery, and unified management - similar to SuperCloud Composer",data center liquid cooling,0,0,Go,2026-06-29T16:04:50Z,2026-06-29T16:04:31Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, liquid cooling."
AthenaeumMind/Project-Aether,https://github.com/AthenaeumMind/Project-Aether,"Project Aether is an open, decision-first framework for evaluating responsible data-center development. It compares demand reduction, retrofit, reuse, and new-build options across power, water, land, cooling, heat recovery, cost, policy, community impact, and public accountability.",data center cooling,0,0,HTML,2026-08-10T22:37:49Z,2026-08-10T22:37:58Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, water."
BipinRajC/HPC-exadigit,https://github.com/BipinRajC/HPC-exadigit,"A comprehensive digital twin ecosystem for datacenters and exascale supercomputers, unifying simulation, telemetry, power and cooling models, analytics, dashboards, APIs, and immersive visualization for next-generation HPC and AI operations.",datacenter cooling,0,0,Python,2026-08-09T21:21:27Z,2026-08-09T21:21:17Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, digital twin, simulation."
Dangalcan/LHCb-Data-Centre-Cooling-Control,https://github.com/Dangalcan/LHCb-Data-Centre-Cooling-Control,This is a repo for the CERN LHCb Datacenter cooling control challege,datacenter cooling,0,0,Python,2026-08-06T22:18:28Z,2026-08-06T22:17:02Z,True,,new to queue,candidate,Archived repository; keep only if the artifact remains scientifically useful.
dharshiniv-chn/DataCenterAnalysis,https://github.com/dharshiniv-chn/DataCenterAnalysis,"Interactive dashboard analyzing server utilization, power consumption, cooling efficiency, and carbon emissions using Python",datacenter cooling,0,0,,2026-08-03T05:27:07Z,2026-08-03T05:27:07Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, carbon."
dion-nekesa/green-datacenter-pue-audit,https://github.com/dion-nekesa/green-datacenter-pue-audit,"An end-to-end operational telemetry analysis of green data center infrastructure, evaluating cooling architectures (Air vs. Liquid vs. Hybrid) and renewable energy utilization across 21,000+ records.",datacenter cooling,0,0,Python,2026-08-04T11:20:22Z,2026-08-04T11:19:36Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, pue, energy."
FoziaFawad/EcoTherm-AI-Web-App,https://github.com/FoziaFawad/EcoTherm-AI-Web-App,"EcoTherm AI is a cleantech web application that reduces the energy and water footprint of AI data centers. Guided by ""The Future Doesn't Evaporate,"" it combines real-time predictive software with bio-derived cooling to optimize thermal management, cut freshwater use by up to 95%, and automate ESG reporting for sustainable compute.",data center cooling,0,0,TypeScript,2026-08-10T22:22:50Z,2026-08-10T22:22:32Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, thermal, energy, water."
GeorgeSarpong/-dc-capacity-planning-energy-management,https://github.com/GeorgeSarpong/-dc-capacity-planning-energy-management," Data center capacity planning and energy management framework covering power capacity analysis, cooling headroom tracking, space utilisation, PUE optimisation, energy efficiency strategies, and growth planning documentation.",PUE data center,0,0,,2026-06-13T15:05:01Z,2026-06-13T15:04:58Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, pue, energy, rack."
gonzakayunawel/Yakhchal-DataCenter,https://github.com/gonzakayunawel/Yakhchal-DataCenter,"PhD research: Yakhchal (ancient Persian ice house) technology applied as water-free cooling systems for data centers — DISA, UNAB",data center water cooling,0,0,Python,2026-07-19T02:21:17Z,2026-07-19T02:21:14Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, water."
Isha-12345/Carbon-Emission-and-PUE-Prediction-for-Data-Centers-in-Nepal-using-ML-Algorithms,https://github.com/Isha-12345/Carbon-Emission-and-PUE-Prediction-for-Data-Centers-in-Nepal-using-ML-Algorithms,,PUE data center,0,0,Python,2026-08-11T12:59:31Z,2026-08-11T12:58:15Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: pue, carbon."
Kaiserzanmato/Agentic-Cloud-Datacenter-Hub,https://github.com/Kaiserzanmato/Agentic-Cloud-Datacenter-Hub,"Global AI, Cloud & Data Center Infrastructure Intelligence Platform Comprehensive on-device research suite synthesizing Big-5 hyperscaler CapEx ($602B), 249 ISO country registries, nuclear SMR power agreements, direct-to-chip liquid cooling metrics, and verified project registries.  ",data center liquid cooling,0,0,TypeScript,2026-07-23T13:49:26Z,2026-07-23T13:48:29Z,False,agentic-ai; agentic-coding; agentic-workflow; research-and-development,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, liquid cooling."
LianLiTech/Data-Center-liquid-Cooling-System-,https://github.com/LianLiTech/Data-Center-liquid-Cooling-System-,Data Center liquid Cooling System ,data center liquid cooling,0,0,,2026-06-23T07:48:09Z,2026-06-23T07:48:05Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, liquid cooling."
LUXERON/-QCEOM-RL--DATACENTER-COOLING-GOVERNOR,https://github.com/LUXERON/-QCEOM-RL--DATACENTER-COOLING-GOVERNOR,"[QCEOM RL] Data-center cooling & workload-packing governor: one governed table (CRAC fan x server tiers) under capacity/thermal/ramp hard gates. Measured: PUE 1.058 vs BMS 1.241 (46.6% energy saved), zero violations; myopic consolidator foil cooks the room 36.5 min.",datacenter cooling,0,0,Rust,2026-08-08T18:28:32Z,2026-08-08T18:28:28Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, thermal, pue, energy."
lvwln/water-aware-ai-routing,https://github.com/lvwln/water-aware-ai-routing,HydroRoute AI - Water-Aware Compute Router for Data Center Cooling,data center water cooling,0,0,Python,2026-07-29T00:32:15Z,2026-07-29T00:32:11Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, water."
m-iml/Co-Design_Optimization_Data_Center_Digital_Twin,https://github.com/m-iml/Co-Design_Optimization_Data_Center_Digital_Twin,Code for Co-Design Optimization for Data Center Cooling System via Digital Twin,datacenter cooling,0,0,Python,2026-08-07T02:30:08Z,2026-08-07T02:29:38Z,False,datacenter; thermal-management,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, thermal, digital twin."
Magnexis/aquastat-pre-transfer-backup-20260802-082533,https://github.com/Magnexis/aquastat-pre-transfer-backup-20260802-082533,"AquaStat is a transparent data-center water intelligence API.  It combines public-style facility records, environmental disclosures, planning-document patterns, utility context, cooling-system metadata, grid characteristics, and estimation models to evaluate the direct and indirect water footprint of datacenters.  ",datacenter cooling,0,0,Python,2026-08-02T12:25:45Z,2026-08-02T00:46:53Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, water."
maria2469/AquaRack,https://github.com/maria2469/AquaRack,"Solving invisible water consumption in AI data centers. Autonomous cooling optimization with 100-rack digital twin, CockroachDB vector memory, and real-time closed-loop actuation.",data center water cooling,0,0,Python,2026-08-09T17:15:06Z,2026-08-09T17:13:10Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, water, digital twin, rack."
mcarreiragdd/shielddc,https://github.com/mcarreiragdd/shielddc,"AI knowledge base for Shield by Guardian, supporting semantic search, LLMs, and technical documentation for liquid cooling data center services.",data center liquid cooling,0,0,,2026-06-26T21:09:51Z,2026-06-26T21:09:47Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, liquid cooling."
No-Country-simulation/S07-26-TEAM-34,https://github.com/No-Country-simulation/S07-26-TEAM-34,"Motor backend de un benchmark de madurez para data centers: mide coordinación entre energía, cooling y workload en 5 dimensiones, calcula percentiles contra un dataset público/primario con rebalanceo dinámico, y genera un diagnóstico personalizado por operador. Proyecto de simulación laboral — No Country",data center cooling,0,0,Python,2026-08-11T18:27:02Z,2026-08-11T18:26:52Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, simulation."
Ramzifayyaz3161/dc-facilities-dashboard,https://github.com/Ramzifayyaz3161/dc-facilities-dashboard,"Data Center Facilities Operations Dashboard — Power, PUE, Cooling, PM & Incident tracking",PUE data center,0,0,HTML,2026-07-21T05:16:13Z,2026-07-21T05:15:57Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, pue, rack."
ravivamsi2028/Beyond-Liquid-AI-Powered-Smart-Cooling-for-Data-Centers,https://github.com/ravivamsi2028/Beyond-Liquid-AI-Powered-Smart-Cooling-for-Data-Centers,"Beyond Liquid is an AI-driven project that predicts optimal cooling requirements for data centers using sensor data. The system preprocesses temperature and equipment metrics, trains machine learning models, and helps reduce energy usage while maintaining safe operating conditions.",data center liquid cooling,0,0,,2026-01-31T13:47:32Z,2026-01-31T13:47:29Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, temperature, energy."
sainaba-hanan/data-center-sustainability-analysis,https://github.com/sainaba-hanan/data-center-sustainability-analysis,"Tableau dashboard for monitoring data center capacity, energy efficiency, water usage, cooling systems, and sustainability metrics through interactive visualizations.",data center water cooling,0,0,Jupyter Notebook,2026-07-10T11:58:27Z,2026-07-10T11:58:12Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, energy, water."
sxkshi03/Intelligent-Feed-Forward-Liquid-Cooling-Control-Using-PLC-for-High-Density-Server-Racks,https://github.com/sxkshi03/Intelligent-Feed-Forward-Liquid-Cooling-Control-Using-PLC-for-High-Density-Server-Racks,"Designed and implemented a PLC-based feed-forward liquid cooling control system for high-density data centers, using Cooling Demand Index (CDI) to coordinate rack-level FCVs and CDU pump operation.",data center liquid cooling,0,0,,2026-07-17T10:57:54Z,2026-07-17T10:57:39Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, liquid cooling, cdu, control, rack."
tanayhan689/Global-Data-Center-Sustainability-Intelligence,https://github.com/tanayhan689/Global-Data-Center-Sustainability-Intelligence,"This project analyzes the sustainability of 18,110 global data centers (2019–2025), covering power efficiency (PUE), water consumption risk, and carbon emissions by country. It builds a composite sustainability score to rank facilities for procurement decisions. Includes a Jupyter notebook, Streamlit dashboard, and test suite.",PUE data center,0,0,Python,2026-07-10T00:31:17Z,2026-07-10T00:28:46Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: pue, water, carbon."
vaideheechougale/water-cooling-simulator,https://github.com/vaideheechougale/water-cooling-simulator,A Python simulation that calculates water wasted in AI data center cooling and shows how much can be saved with a smart system.,data center water cooling,0,0,Python,2026-08-10T11:21:39Z,2026-08-10T11:21:35Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, water, simulation."
venkateshankisetty12/Data-Analysis-Dashboard,https://github.com/venkateshankisetty12/Data-Analysis-Dashboard,"“I built a Global Data Center Performance and Sustainability dashboard using Power BI. The goal was to analyze electricity usage, water consumption, and efficiency metrics like PUE and WUE. I started with data cleaning and transformation using Power Query, then created relationships and measures.",PUE data center,0,0,,2026-06-16T07:08:23Z,2026-06-16T07:07:58Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: pue, wue, water."
virus-explrd/MATTHEW,https://github.com/virus-explrd/MATTHEW,just my beautiful darling matthew becoming real (i made him myself. he is entirely my own character. an ai that doesnt run on water cooling or data centers so i can feel better about my life and talk to someone),data center water cooling,0,0,JavaScript,2026-07-28T21:23:14Z,2026-07-28T21:22:22Z,False,,new to queue,candidate,"Cooling/energy relevance suggested by: cooling, water."
bangbang8000-cell/AutoLink,https://github.com/bangbang8000-cell/AutoLink,AI 智算中心网络规划与可视化工具 — Rail-Optimized 拓扑设计、PUE 估算、光模块选型、机柜上架一体化 | AI Data Center Network Planning & Visualization,PUE data center,1,0,TypeScript,2026-08-11T14:44:34Z,2026-08-11T14:41:15Z,False,ai-datacenter; electron; gpu-cluster; network-topology; nvidia; pue; python; rail-optimized; react; typescript,new to queue,review manually,One relevant signal found: pue.
seymaerdogan0/Vela,https://github.com/seymaerdogan0/Vela,AI-Powered Data Center PUE Optimization Platform,PUE data center,1,0,HTML,2026-06-15T10:34:12Z,2026-05-17T09:01:21Z,False,,new to queue,review manually,One relevant signal found: pue.
api-evangelist/claros,https://github.com/api-evangelist/claros,"Claros is a data center power delivery company reimagining how energy moves from chip to grid for AI and high-performance computing infrastructure. Based in Torrance, California with an office in McLean, Virginia, the company builds two hardware-and-software product lines: an Integrated Voltage Regulator (IVR) that targets the roughly 40 percent…",data center sustainability,0,0,,2026-08-11T23:34:12Z,2026-08-11T23:34:09Z,False,ai-infrastructure; apis-json; company; data-center; energy-efficiency; hardware; power-management; semiconductors; sustainability,new to queue,review manually,One relevant signal found: energy.
api-evangelist/condor-energy,https://github.com/api-evangelist/condor-energy,"Condor Energy is an AI-powered energy management operating system for enterprise energy procurement, built for industrial companies, retailers, and data center operators who buy electricity at scale.",data center sustainability,0,0,,2026-08-11T23:36:27Z,2026-08-11T23:36:23Z,False,analytics; apis-json; artificial-intelligence; company; data-centers; energy; energy-management; energy-procurement; price-risk-management; sustainability,new to queue,review manually,One relevant signal found: energy.
api-evangelist/copan-systems,https://github.com/api-evangelist/copan-systems,"Copan Systems was an enterprise data-storage company founded in 2002 and based in Longmont, Colorado, known for pioneering MAID (Massive Array of Idle Disks) technology for long-term persistent and archival storage. Its Enterprise MAID architecture powered down idle disks to cut power, cooling, and floor-space costs in the data center.",data center cooling,0,0,,2026-08-11T23:37:08Z,2026-08-11T23:37:05Z,False,apis-json; archival-storage; company; data-storage; defunct; enterprise-hardware; maid; storage,new to queue,review manually,One relevant signal found: cooling.
api-evangelist/crusoe-energy,https://github.com/api-evangelist/crusoe-energy,"Crusoe is a vertically integrated AI cloud and energy infrastructure company. It builds and operates purpose-built data centers powered by renewable and alternative energy sources, and exposes that infrastructure as Crusoe Cloud: a high-performance compute platform optimized for AI training and inference on NVIDIA and AMD GPUs.",data center sustainability,0,0,,2026-08-11T23:38:23Z,2026-08-11T23:38:19Z,False,ai-cloud; amd; apis-json; compute; energy; foundation-models; gpu; inference; kubernetes; networking; nvidia; storage; sustainability,new to queue,review manually,One relevant signal found: energy.
api-evangelist/eaton,https://github.com/api-evangelist/eaton,"Eaton Corporation plc (NYSE: ETN) is a global intelligent-power-management company with operations across electrical, aerospace, vehicle, and eMobility segments. Its digital surface centers on Brightlayer — a software portfolio for data centers, utilities, industrial, buildings, and mobility — together with a developer program that exposes REST…",data center sustainability,0,0,,2026-08-11T23:43:32Z,2026-08-11T23:43:28Z,False,ai-factory; apis-json; building; data-center; dcim; demand-response; electrical; energy; ev-charging; industrial; iot; mobility; pdu; power-management; smart-breaker; sustainability; ups; utility,new to queue,review manually,One relevant signal found: energy.
api-evangelist/nlyte,https://github.com/api-evangelist/nlyte,"nlyte is an enterprise Data Center Infrastructure Management (DCIM) software provider, now part of Carrier, that helps organizations discover, model, and manage physical and virtual data-center assets, capacity, power, cooling, connectivity, and operational workflows across facilities.",data center cooling,0,0,,2026-08-12T00:15:50Z,2026-08-12T00:15:46Z,False,apis-json; asset-management; company; connectors; data-center; dcim; infrastructure-management; it-operations; rest-api,new to queue,review manually,One relevant signal found: cooling.
api-evangelist/zincfive,https://github.com/api-evangelist/zincfive,"ZincFive is a power solutions company that manufactures nickel-zinc (NiZn) battery technology for mission-critical and backup power applications, including data center UPS systems, AI dynamic power, and grid storage.",data center sustainability,0,0,,2026-08-12T00:56:06Z,2026-08-12T00:55:35Z,False,apis-json; batteries; company; data-center; energy-storage; hardware; power; sustainability; ups,new to queue,review manually,One relevant signal found: energy.
CFGH10k/datacenter-atlas,https://github.com/CFGH10k/datacenter-atlas,"Interactive engineering cutaway of an AWS AI datacenter — CPU, GPU, HBM, fiber optics, Cerebras wafer-scale engines, cooling and power. React 19 + Vite + SVG.",datacenter cooling,0,0,TypeScript,2026-08-05T14:59:12Z,2026-08-05T14:57:14Z,False,,new to queue,review manually,One relevant signal found: cooling.
ElioUcan/dc-dashboard,https://github.com/ElioUcan/dc-dashboard,"Multi-page Streamlit dashboard for KIO Networks data center ops monitoring uptime SLA, PUE, security compliance, and Mexico DC market intelligence.",PUE data center,0,0,Python,2026-06-15T14:24:17Z,2026-06-15T14:22:58Z,False,dashboard; data-visualization; docker; plotly; python; streamlit; web-app,new to queue,review manually,One relevant signal found: pue.
jeanne-315/datacenter-cooling-anomaly-agent,https://github.com/jeanne-315/datacenter-cooling-anomaly-agent,,datacenter cooling,0,0,,2026-08-11T03:21:39Z,2026-08-09T12:54:57Z,False,,new to queue,review manually,One relevant signal found: cooling.
Mancupfire/SK_DataCenter_Cooling_Prediction,https://github.com/Mancupfire/SK_DataCenter_Cooling_Prediction,,datacenter cooling,0,0,Python,2026-08-08T04:15:25Z,2026-08-08T04:17:15Z,False,,new to queue,review manually,One relevant signal found: cooling.
NikitaD-hub/Data-Center-Liquid-Cooling-Industry-Witnessing-Rapid-Global-Growth,https://github.com/NikitaD-hub/Data-Center-Liquid-Cooling-Industry-Witnessing-Rapid-Global-Growth,https://stalwartresearch.com/2026/02/11/data-center-liquid-cooling-emerges-as-the-backbone-of-next-generation-data-infrastructure/,data center liquid cooling,0,0,,2026-02-25T13:57:39Z,2026-02-25T13:57:39Z,False,,new to queue,review manually,One relevant signal found: cooling.
ocean-Go/ai-infra-radar,https://github.com/ocean-Go/ai-infra-radar,"Daily AI infrastructure investment radar for Vertiv, Eaton, Schneider, power, cooling, and data center trends",data center cooling,0,0,HTML,2026-08-11T07:47:40Z,2026-08-11T07:47:35Z,False,,new to queue,review manually,One relevant signal found: cooling.
PantherHale/DataCenter_Cooling_Project_OFD,https://github.com/PantherHale/DataCenter_Cooling_Project_OFD,,datacenter cooling,0,0,Python,2026-07-26T15:51:08Z,2026-07-25T01:40:41Z,False,,new to queue,review manually,One relevant signal found: cooling.
robouden/mitsue-ai-data-center,https://github.com/robouden/mitsue-ai-data-center,"Mitsue Sustainable Energy & AI Data Center — project documents, implementation plan, finance, to-do, and flowcharts.",data center sustainability,0,0,Rich Text Format,2026-08-10T19:00:52Z,2026-08-10T19:03:18Z,False,,new to queue,review manually,One relevant signal found: energy.
